sample_id,sampling_tier,source_baseline,record_id,doi,paper_title,route,formulation_label,policy_level,policy_first_verified,pipeline_status_v4,failure_reasons_v4,endpoint_kind,endpoint_value,endpoint_unit,endpoint_time,endpoint_time_unit,endpoint_normalized_value,endpoint_normalized_unit,api_name,api_concentration_value,api_concentration_unit,api_basis,api_concentration_raw,device,study_type,barrier,membrane_type,membrane_source,membrane_thickness_um,receptor_medium,dose_type,dose_amount,diffusion_area_cm2,key_table_figure_to_check,paper_link,card_path,gold_api_correct,gold_concentration_correct,gold_device_correct,gold_endpoint_kind_correct,gold_endpoint_time_correct,gold_membrane_correct,gold_endpoint_value_correct,gold_endpoint_value_note,gold_excipient_correct,gold_receptor_medium_correct,gold_dose_type_correct,gold_scope_correct,gold_value_correct,gold_keep_record,gold_notes
R2-036,tier1_gpt_v4_verified_all,gpt,record_f014c92e4f9a,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,table,F8,v2,v2,verified,,amount_total,132.3,ug,24,h,206.71875,ug/cm^2,Ibuprofen,5,% w/v,w/v,5% (w/v),Franz diffusion cell,both,porcine skin,porcine skin,porcine,,PBS (pH 7.4),infinite,infinite dose,0.64,Table 2,https://doi.org/10.1208/s12249-013-9995-4,gold_set_round2_record_cards\R2-036_record_f014c92e4f9a.md,yes,yes,yes,yes,yes,yes,yes,,partial,yes,yes,yes,yes,yes,"excipients includes Vitamin E TPGS, HPMC K4, HPMC K123."
R2-037,tier1_gpt_v4_verified_all,gpt,record_f1bd4b546c11,10.1208/s12249-015-0474-y,Regulating the Skin Permeation Rate of Escitalopram by Ion-pair Formation with Organic Acids.,mixed,text_1,v4,v4,verified,,jss,113.09,ug/(cm2 h),8,h,,,ibuprofen,,,,N/A,Franz diffusion cell,IVPT,rabbit abdominal skin,skin,rabbit,500,"Phosphate Buffered Saline (PBS, pH 7.4)",finite,224.48 18.49 ug/(cm2 h),0.95,"page 6; page 5; Table III; page(s): 1, 2, 3, 4, 5, 6, 7",https://doi.org/10.1208/s12249-015-0474-y,gold_set_round2_record_cards\R2-037_record_f1bd4b546c11.md,no,no,yes,no,yes,yes,yes,,partial,yes,yes,no,yes,no,"ibuprofen is not main api, it's a excipient for helping Escitalopram to permeate. "
R2-038,tier1_gpt_v4_verified_all,gpt,record_e6ee5fbe2ba0,10.1208/s12249-015-0474-y,Regulating the Skin Permeation Rate of Escitalopram by Ion-pair Formation with Organic Acids.,mixed,text_2,v4,v4,verified,,jss,169.85,ug/(cm2 h),8,h,,,ibuprofen,,,,N/A,Franz diffusion cell,IVRT,rabbit abdominal skin,skin,rabbit,500,"Phosphate Buffered Saline (PBS, pH 7.4)",finite,169.85 27.97 ug/(cm2 h),0.95,"page 6; page 5; Table III; page(s): 1, 2, 3, 4, 5, 6, 7",https://doi.org/10.1208/s12249-015-0474-y,gold_set_round2_record_cards\R2-038_record_e6ee5fbe2ba0.md,no,no,yes,no,yes,yes,yes,,partial,yes,yes,no,yes,no,"ibuprofen is not main api, and even not included in this formulation, the paper states ESP-BA (formulation label) in Table III. "
R2-039,tier1_gpt_v4_verified_all,gpt,record_f4db8f371df4,10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,table,"Ibuprofen 1,3-BG 1:1",v3,v3,verified,,amount_per_area,50,ug/cm2,1,h,50,ug/cm^2,Ibuprofen,,,,-,Franz diffusion cell,IVPT,excised porcine ear skin,Porcine skin,porcine,1200,PBS,finite,1.0 ml,1.77,"Table 3; PAGE 2; page(s): 1, 2, 3, 4, 6",https://doi.org/10.1208/s12249-019-1481-1,gold_set_round2_record_cards\R2-039_record_f4db8f371df4.md,yes,yes,yes,yes,no,yes,no,"endpoint value was not extracted correctly, the paper states it in the Figure 2.",partial,yes,no,no,no,no,"ibuprofen's concentration not shown in paper so that here is no concentration, and labelled 'yes' in ""gold_concentration_correct""; endpoint time/value was not extracted correctly, it's shown in Figure 2, time is 8h; dose type is infinite, excipients include Gly, 1,3-PD, 1,3-BG, DPG, and the surfactant PEG60 CAS. "
R2-040,tier1_gpt_v4_verified_all,gpt,record_dc75f062c81e,10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,table,Ibuprofen Control,v3,v3,verified,,amount_per_area,20,ug/cm2,1,h,20,ug/cm^2,Ibuprofen,,,,-,Franz diffusion cell,IVPT,excised porcine ear skin,Porcine skin,porcine,1200,PBS,finite,1.0 ml,1.77,"Table 3; PAGE 2; page(s): 1, 2, 3, 4, 6",https://doi.org/10.1208/s12249-019-1481-1,gold_set_round2_record_cards\R2-040_record_dc75f062c81e.md,yes,yes,yes,yes,no,yes,no,"endpoint value was not extracted correctly, the paper states it in the Figure 3.",partial,yes,no,no,no,no,"ibuprofen's concentration not shown in paper so that here is no concentration, and labelled 'yes' in ""gold_concentration_correct""; endpoint time/value was not extracted correctly, it's shown in Figure 2, time is 8h; dose type is infinite, excipients include Gly, 1,3-PD, 1,3-BG, DPG, and the surfactant PEG60 CAS. "
R2-041,tier1_gpt_v4_verified_all,gpt,record_73e793f7cfd0,10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,table,Ibuprofen DPG 1:1,v3,v3,verified,,amount_per_area,70,ug/cm2,2,h,70,ug/cm^2,Ibuprofen,,,,-,Franz diffusion cell,IVPT,excised porcine ear skin,Porcine skin,porcine,1200,PBS,finite,1.0 ml,1.77,"Table 3; PAGE 2; page(s): 1, 2, 3, 4, 6",https://doi.org/10.1208/s12249-019-1481-1,gold_set_round2_record_cards\R2-041_record_73e793f7cfd0.md,yes,yes,yes,yes,no,yes,no,"endpoint value was not extracted correctly, the paper states it in the Figure 4.",partial,yes,no,no,no,no,"ibuprofen's concentration not shown in paper so that here is no concentration, and labelled 'yes' in ""gold_concentration_correct""; endpoint time/value was not extracted correctly, it's shown in Figure 2, time is 8h; dose type is infinite, excipients include Gly, 1,3-PD, 1,3-BG, DPG, and the surfactant PEG60 CAS. "
R2-042,tier1_gpt_v4_verified_all,gpt,record_d8d2b57596ab,10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,table,Ibuprofen Glycerin 1:1,v3,v3,verified,,amount_per_area,100,ug/cm2,2,h,100,ug/cm^2,Ibuprofen,,,,-,Franz diffusion cell,IVPT,excised porcine ear skin,Porcine skin,porcine,1200,PBS,finite,1.0 ml,1.77,"Table 3; PAGE 2; page(s): 1, 2, 3, 4, 6",https://doi.org/10.1208/s12249-019-1481-1,gold_set_round2_record_cards\R2-042_record_d8d2b57596ab.md,yes,yes,yes,yes,no,yes,no,"endpoint value was not extracted correctly, the paper states it in the Figure 5.",partial,yes,no,no,no,no,"ibuprofen's concentration not shown in paper so that here is no concentration, and labelled 'yes' in ""gold_concentration_correct""; endpoint time/value was not extracted correctly, it's shown in Figure 2, time is 8h; dose type is infinite, excipients include Gly, 1,3-PD, 1,3-BG, DPG, and the surfactant PEG60 CAS."
R2-043,tier1_gpt_v4_verified_all,gpt,record_32062e7155cc,10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,table,Ibuprofen Mixed Vehicle,v3,v3,verified,,amount_per_area,110,ug/cm2,3,h,110,ug/cm^2,Ibuprofen,,,,-,Franz diffusion cell,IVPT,excised porcine ear skin,Porcine skin,porcine,1200,PBS,finite,1.0 ml,1.77,"Table 3; PAGE 2; page(s): 1, 2, 3, 4, 6",https://doi.org/10.1208/s12249-019-1481-1,gold_set_round2_record_cards\R2-043_record_32062e7155cc.md,yes,yes,yes,yes,no,yes,no,"endpoint value was not extracted correctly, the paper states it in the Figure 6.",partial,yes,no,no,no,no,"ibuprofen's concentration not shown in paper so that here is no concentration, and labelled 'yes' in ""gold_concentration_correct""; endpoint time/value was not extracted correctly, it's shown in Figure 2, time is 8h; dose type is infinite, excipients include Gly, 1,3-PD, 1,3-BG, DPG, and the surfactant PEG60 CAS."
R2-044,tier1_gpt_v4_verified_all,gpt,record_489d1193529e,10.1208/s12249-019-1481-1,Effects of Temperature and Humidity on the Skin Permeation of Hydrophilic and Hydrophobic Drugs.,table,Ibuprofen PEG60 1:1,v3,v3,verified,,amount_per_area,90,ug/cm2,3,h,90,ug/cm^2,Ibuprofen,,,,-,Franz diffusion cell,IVPT,excised porcine ear skin,Porcine skin,porcine,1200,PBS,finite,1.0 ml,1.77,"Table 3; PAGE 2; page(s): 1, 2, 3, 4, 6",https://doi.org/10.1208/s12249-019-1481-1,gold_set_round2_record_cards\R2-044_record_489d1193529e.md,yes,yes,yes,yes,no,yes,no,"endpoint value was not extracted correctly, the paper states it in the Figure 7.",partial,yes,no,no,no,no,"ibuprofen's concentration not shown in paper so that here is no concentration, and labelled 'yes' in ""gold_concentration_correct""; endpoint time/value was not extracted correctly, it's shown in Figure 2, time is 8h; dose type is infinite, excipients include Gly, 1,3-PD, 1,3-BG, DPG, and the surfactant PEG60 CAS."
R2-045,tier1_gpt_v4_verified_all,gpt,record_05c22499eb1a,10.1248/bpb.b19-00221,Three-Compartment Model Analysis with Minimal Sampling Points in the Caco-2 Permeability Assay.,table,Ibuprofen,v3,v3,verified,,amount_total,3.83,mg,120,min,11606.06061,ug/cm^2,Ibuprofen,3.83,mg/ml,w/v,3.83 mg/mL,Franz diffusion cell,IVPT,Caco-2,Caco-2,Human,27.2,FaSSIF,,250 uL,0.33,"Table 1; page(s): 1, 2, 3, 4, 5",https://doi.org/10.1248/bpb.b19-00221,gold_set_round2_record_cards\R2-045_record_05c22499eb1a.md,yes,no,no,no,yes,yes,no,endpoint value is not shown in the paper.,yes,yes,no,no,no,no,The concentration is 10uM; device not franz cell; This experiment does not distinguish between infinite and finite doses.
R2-046,tier1_gpt_v4_verified_all,gpt,record_1bd324e90169,10.1248/bpb.b19-00221,Three-Compartment Model Analysis with Minimal Sampling Points in the Caco-2 Permeability Assay.,table,Ibuprofen,v3,v3,verified,,amount_total,3.83,mg,0,min,11606.06061,ug/cm^2,Ibuprofen,3.83,mg/ml,w/v,3.83 mg/mL,Franz diffusion cell,IVPT,Caco-2,Caco-2,Human,27.2,FaSSIF,,250 uL,0.33,"Table 1; page(s): 1, 2, 3, 4, 5",https://doi.org/10.1248/bpb.b19-00221,gold_set_round2_record_cards\R2-046_record_1bd324e90169.md,yes,no,no,no,no,yes,no,endpoint value is not shown in the paper.,yes,yes,no,no,no,no,The concentration is 10uM; device not franz cell; endpoint time is 120 min; This experiment does not distinguish between infinite and finite doses.
R2-047,tier1_gpt_v4_verified_all,gpt,record_0c86a8a8bb55,10.1523/jneurosci.5741-07.2008,Overexpressed transient receptor potential vanilloid 3 ion channels in skin keratinocytes modulate pain sensitivity via prostaglandin E2.,text,text_1,v3,v3,verified,,amount_total,40,mg,30,min,23.52941176,ug/cm^2,ibuprofen,,,,40 mg/kg,Franz diffusion cell,IVPT,mouse skin,skin,mouse skin,,Cremaphor: Dextrose (1:4:15),finite,40 mg/kg,1700,Check evidence locators in this card,https://doi.org/10.1523/jneurosci.5741-07.2008,gold_set_round2_record_cards\R2-047_record_0c86a8a8bb55.md,no,no,no,no,no,no,no,,no,no,N/A,no,no,no,"This paper falls within the field of neurobiology/pain pharmacology. Rather than using a Franz diffusion cell to measure drug “permeability,” it employs **cell culture techniques (patch-clamp electrophysiology, molecular release assays) and in vivo behavioral studies (in vivo pain assessment)**. The record is same from R2-047 to R2-051."
R2-048,tier1_gpt_v4_verified_all,gpt,record_9ef995c91d9b,10.1523/jneurosci.5741-07.2008,Overexpressed transient receptor potential vanilloid 3 ion channels in skin keratinocytes modulate pain sensitivity via prostaglandin E2.,text,text_2,v3,v3,verified,,amount_total,40,mg,30,min,23.52941176,ug/cm^2,ibuprofen,,,,40 mg/kg,Franz diffusion cell,IVPT,mouse skin,skin,mouse skin,,Cremaphor: Dextrose (1:4:15),finite,40 mg/kg,1700,Check evidence locators in this card,https://doi.org/10.1523/jneurosci.5741-07.2008,gold_set_round2_record_cards\R2-048_record_9ef995c91d9b.md,no,no,no,no,no,no,no,,no,no,N/A,no,no,no,"This paper falls within the field of neurobiology/pain pharmacology. Rather than using a Franz diffusion cell to measure drug “permeability,” it employs **cell culture techniques (patch-clamp electrophysiology, molecular release assays) and in vivo behavioral studies (in vivo pain assessment)**. The record is same from R2-047 to R2-051."
R2-049,tier1_gpt_v4_verified_all,gpt,record_3cafd2b883f5,10.1523/jneurosci.5741-07.2008,Overexpressed transient receptor potential vanilloid 3 ion channels in skin keratinocytes modulate pain sensitivity via prostaglandin E2.,text,text_3,v3,v3,verified,,amount_total,40,mg,30,min,23.52941176,ug/cm^2,ibuprofen,,,,40 mg/kg,Franz diffusion cell,IVPT,mouse skin,skin,mouse skin,,Cremaphor: Dextrose (1:4:15),finite,40 mg/kg,1700,Check evidence locators in this card,https://doi.org/10.1523/jneurosci.5741-07.2008,gold_set_round2_record_cards\R2-049_record_3cafd2b883f5.md,no,no,no,no,no,no,no,,no,no,N/A,no,no,no,"This paper falls within the field of neurobiology/pain pharmacology. Rather than using a Franz diffusion cell to measure drug “permeability,” it employs **cell culture techniques (patch-clamp electrophysiology, molecular release assays) and in vivo behavioral studies (in vivo pain assessment)**. The record is same from R2-047 to R2-051."
R2-050,tier1_gpt_v4_verified_all,gpt,record_4306a8808b9e,10.1523/jneurosci.5741-07.2008,Overexpressed transient receptor potential vanilloid 3 ion channels in skin keratinocytes modulate pain sensitivity via prostaglandin E2.,text,text_4,v3,v3,verified,,amount_total,40,mg,30,min,23.52941176,ug/cm^2,ibuprofen,,,,40 mg/kg,Franz diffusion cell,IVPT,mouse skin,skin,mouse skin,,Cremaphor: Dextrose (1:4:15),finite,40 mg/kg,1700,Check evidence locators in this card,https://doi.org/10.1523/jneurosci.5741-07.2008,gold_set_round2_record_cards\R2-050_record_4306a8808b9e.md,no,no,no,no,no,no,no,,no,no,N/A,no,no,no,"This paper falls within the field of neurobiology/pain pharmacology. Rather than using a Franz diffusion cell to measure drug “permeability,” it employs **cell culture techniques (patch-clamp electrophysiology, molecular release assays) and in vivo behavioral studies (in vivo pain assessment)**. The record is same from R2-047 to R2-051."
R2-051,tier1_gpt_v4_verified_all,gpt,record_971a466d8370,10.1523/jneurosci.5741-07.2008,Overexpressed transient receptor potential vanilloid 3 ion channels in skin keratinocytes modulate pain sensitivity via prostaglandin E2.,text,text_5,v3,v3,verified,,amount_total,40,mg,30,min,23.52941176,ug/cm^2,ibuprofen,,,,40 mg/kg,Franz diffusion cell,IVPT,mouse skin,skin,mouse skin,,Cremaphor: Dextrose (1:4:15),finite,40 mg/kg,1700,Check evidence locators in this card,https://doi.org/10.1523/jneurosci.5741-07.2008,gold_set_round2_record_cards\R2-051_record_971a466d8370.md,no,no,no,no,no,no,no,,no,no,N/A,no,no,no,"This paper falls within the field of neurobiology/pain pharmacology. Rather than using a Franz diffusion cell to measure drug “permeability,” it employs **cell culture techniques (patch-clamp electrophysiology, molecular release assays) and in vivo behavioral studies (in vivo pain assessment)**. The record is same from R2-047 to R2-051."
R2-052,tier2_gpt_v4_unresolved_stratified,gpt,record_a8514a78092f,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,A,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-052_record_a8514a78092f.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-053,tier2_gpt_v4_unresolved_stratified,gpt,record_396d098189b9,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,B,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-053_record_396d098189b9.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-054,tier2_gpt_v4_unresolved_stratified,gpt,record_b38e30c2a7de,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,C,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-054_record_b38e30c2a7de.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-055,tier2_gpt_v4_unresolved_stratified,gpt,record_6e12e1587b9e,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,D,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-055_record_6e12e1587b9e.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-056,tier2_gpt_v4_unresolved_stratified,gpt,record_ca4b1d3e6308,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,E,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-056_record_ca4b1d3e6308.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-057,tier2_gpt_v4_unresolved_stratified,gpt,record_ae0ca3ad9725,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,F,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-057_record_ae0ca3ad9725.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-058,tier2_gpt_v4_unresolved_stratified,gpt,record_e26a9af3a51b,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,G,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-058_record_e26a9af3a51b.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-059,tier2_gpt_v4_unresolved_stratified,gpt,record_82a89a0d0703,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,H,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-059_record_82a89a0d0703.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-060,tier2_gpt_v4_unresolved_stratified,gpt,record_903ce061d6ea,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,I,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-060_record_903ce061d6ea.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-061,tier2_gpt_v4_unresolved_stratified,gpt,record_48266fe84cb1,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,mixed,J,never,never,unresolved,insufficient_evidence,amount_total,151.38,mg,14,days,756900000,ug/cm^2,Ibuprofen,151.38,mg/g,w/w,,,IVPT,cotton fabric,cotton fabric,,,,finite,151.38 mg,0.0002,"Table 1; page(s): 2, 3, 8, 9, 11",https://doi.org/10.1038/s41598-024-57883-5,gold_set_round2_record_cards\R2-061_record_48266fe84cb1.md,yes,yes,no,no,yes,yes,no,"The dressing exhibited a pronounced “burst release” effect, releasing approximately $64\ \mu g$ of ibuprofen within the first 2 minutes. This was followed by a gradual sustained-release phase; after 14 days, the PLA-PEG carrier group (Sample C) had released a total of $209\ \mu g$, while the star-PLA carrier group (Sample E) had released $239\ \mu g$.",no,no,N/A,no,no,no,"Instead of using a Franz diffusion cell to measure the rate of drug penetration through the skin, ibuprofen was loaded onto a modified cotton fabric, and the drug release kinetics, cytotoxicity, and anti-inflammatory activity of the dressing were tested. record is same from R2-052 to R2-061."
R2-062,tier2_gpt_v4_unresolved_stratified,gpt,record_85db64f6a3e6,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,mixed,Ibuprofen 200 um,never,never,unresolved,insufficient_evidence,unknown,11.15,%,6,hours,,,Ibuprofen,,,,,Franz diffusion cell,IVPT,bovine split skin,bovine split skin,,200,,,296 g,1.77,"Table 1; page(s): 2, 3, 4, 5, 6",https://doi.org/10.1186/2050-6511-13-5,gold_set_round2_record_cards\R2-062_record_85db64f6a3e6.md,yes,no,yes,yes,yes,yes,no,endpoint value and unit not correct,yes,no,no,no,yes,no,"concentration was not extracted, it states 10 mg/L (1.0%w/v); dose type is infinite dose; recepter medium is PBS ph 7.4;"
